tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,Player1_entry,Player1_name,Player1_hand,Player1_ht,Player1_ioc,Player1_age,score,best_of,round,minutes,Player2_id,Player2_seed,Player2_entry,Player2_name,Player2_hand,Player2_ht,Player2_ioc,Player2_age,Player1_id,Player1_seed,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,Player2_rank,Player2_rank_points,Player1_rank,Player1_rank_points,Player2_streak,Player2_max_streak,y
2023-0807,Acapulco,Hard,32,A,20230227,271,,J J Wolf,R,183.0,USA,24.1,6-4 6-4,3,R32,106.0,106121,,Q,Taro Daniel,R,191.0,JPN,30.0,200670,,2.0,1.0,63.0,45.0,32.0,8.0,10.0,2.0,4.0,2.0,7.0,63.0,33.0,21.0,14.0,10.0,8.0,12.0,125.0,448.0,44.0,951.0,0,4,1
2020-0495,Dubai,Hard,32,A,20200224,272,,Ricardas Berankis,R,175.0,LTU,29.6,5-7 7-6(2) 6-3,3,R32,157.0,105932,,,Nikoloz Basilashvili,R,185.0,GEO,28.0,105575,,14.0,10.0,118.0,63.0,48.0,24.0,16.0,9.0,12.0,9.0,3.0,122.0,65.0,43.0,27.0,17.0,4.0,8.0,29.0,1440.0,62.0,841.0,0,6,0
2024-0322,Geneva,Clay,32,A,20240520,293,,Yannick Hanfmann,R,193.0,GER,32.5,6-3 6-3,3,R16,89.0,104925,1,,Novak Djokovic,R,188.0,SRB,36.9,105870,,3.0,2.0,68.0,45.0,32.0,12.0,9.0,10.0,11.0,3.0,0.0,50.0,42.0,24.0,3.0,9.0,5.0,9.0,1.0,9860.0,85.0,682.0,2,26,1
2021-8996,Santiago,Clay,32,A,20210308,300,,Facundo Bagnis,L,183.0,ARG,31.0,6-4 6-7(3) 7-5,3,F,155.0,106426,1,,Cristian Garin,R,185.0,CHI,24.7,105487,,14.0,2.0,105.0,68.0,48.0,22.0,17.0,6.0,8.0,8.0,6.0,106.0,59.0,41.0,25.0,17.0,4.0,8.0,22.0,2180.0,118.0,633.0,3,9,0
2022-0440,s Hertogenbosch,Grass,32,A,20220606,299,,Adrian Mannarino,L,183.0,FRA,33.9,7-5 7-5,3,SF,116.0,106421,1,,Daniil Medvedev,R,198.0,RUS,26.3,105173,,4.0,4.0,66.0,40.0,29.0,12.0,12.0,1.0,4.0,0.0,3.0,90.0,56.0,34.0,14.0,12.0,5.0,10.0,2.0,8160.0,70.0,858.0,2,16,0
2024-8998,Adelaide,Hard,32,A,20240108,273,Q,Adam Walton,U,,AUS,24.7,6-1 6-3,3,R32,70.0,208103,7,,Jiri Lehecka,R,185.0,CZE,22.1,200443,,9.0,3.0,51.0,25.0,21.0,14.0,8.0,4.0,4.0,4.0,0.0,51.0,35.0,23.0,3.0,8.0,5.0,9.0,32.0,1337.0,176.0,348.0,5,6,1
2024-M-DC-2024-WG2-PO-CYP-MAR-01,Davis Cup WG2 PO: CYP vs MAR,Hard,4,D,20240203,4,,Hamza Karmoussi,U,,MAR,,6-3 6-1,3,RR,60.0,210308,,,Stylianos Christodoulou,U,,CYP,19.2,127195,,7.0,1.0,50.0,37.0,29.0,6.0,8.0,3.0,3.0,0.0,3.0,49.0,30.0,14.0,9.0,8.0,2.0,6.0,1114.0,8.0,,,1,1,1
2021-7485,Antwerp,Hard,32,A,20211018,282,WC,Richard Gasquet,R,185.0,FRA,35.3,7-6(3) 6-1,3,R32,82.0,105583,8,,Dusan Lajovic,R,180.0,SRB,31.3,104755,,5.0,0.0,61.0,38.0,29.0,12.0,9.0,2.0,3.0,0.0,2.0,69.0,42.0,27.0,11.0,10.0,5.0,9.0,33.0,1556.0,73.0,921.0,0,5,0
2022-0451,Doha,Hard,32,A,20220214,288,,Botic Van De Zandschulp,R,188.0,NED,26.3,6-3 7-5,3,R16,102.0,105227,4,,Marin Cilic,R,198.0,CRO,33.3,122298,,6.0,0.0,73.0,43.0,30.0,18.0,11.0,5.0,6.0,5.0,3.0,69.0,48.0,33.0,7.0,10.0,8.0,11.0,24.0,1840.0,50.0,1149.0,0,7,0
2023-560,Us Open,Hard,128,G,20230828,127,,Marc Andrea Huesler,L,196.0,SUI,27.1,4-6 5-7 7-6(0) 6-3 6-1,5,R128,192.0,128034,17,,Hubert Hurkacz,R,196.0,POL,26.5,144817,,19.0,4.0,141.0,93.0,75.0,23.0,25.0,3.0,7.0,11.0,8.0,147.0,90.0,67.0,23.0,26.0,7.0,13.0,17.0,2035.0,97.0,604.0,4,9,1
2024-0403,Miami Masters,Hard,128,M,20240318,228,Q,Brandon Nakashima,R,185.0,USA,22.6,6-4 3-6 6-3,3,R128,132.0,126214,,,Alejandro Tabilo,L,188.0,CHI,26.7,206909,,13.0,2.0,98.0,71.0,51.0,9.0,14.0,6.0,9.0,12.0,1.0,82.0,55.0,38.0,12.0,14.0,4.0,8.0,44.0,1040.0,92.0,650.0,6,6,1
2023-0319,Kitzbuhel,Clay,32,A,20230731,293,Q,Guido Andreozzi,R,183.0,ARG,31.9,6-2 6-2,3,R16,75.0,144869,1,,Tomas Martin Etcheverry,R,196.0,ARG,24.0,105819,,2.0,0.0,39.0,26.0,21.0,10.0,8.0,1.0,2.0,1.0,7.0,51.0,31.0,15.0,6.0,8.0,5.0,10.0,34.0,1231.0,240.0,245.0,0,5,1
2023-580,Australian Open,Hard,128,G,20230116,218,,J J Wolf,R,183.0,USA,24.0,6-7(5) 6-2 6-7(4) 7-6(4) 6-2,5,R16,227.0,210097,,,Ben Shelton,L,,USA,20.2,200670,,23.0,1.0,158.0,107.0,88.0,35.0,26.0,2.0,2.0,19.0,2.0,162.0,105.0,84.0,30.0,26.0,5.0,9.0,89.0,604.0,67.0,758.0,0,8,1
2023-0416,Rome Masters,Clay,128,M,20230508,258,,Tommy Paul,R,185.0,USA,25.9,4-6 6-3 6-4,3,R64,160.0,106426,,,Cristian Garin,R,185.0,CHI,26.9,126205,16,1.0,3.0,99.0,73.0,43.0,15.0,15.0,7.0,12.0,4.0,4.0,102.0,58.0,33.0,22.0,14.0,6.0,12.0,79.0,723.0,17.0,2170.0,3,9,1
2020-580,Australian Open,Hard,128,G,20200120,178,,Nikoloz Basilashvili,R,185.0,GEO,27.9,4-6 7-6(5) 6-4 6-4,5,R64,169.0,104269,,,Fernando Verdasco,L,188.0,ESP,36.1,105932,26,13.0,3.0,128.0,88.0,68.0,22.0,21.0,8.0,11.0,4.0,8.0,139.0,86.0,64.0,25.0,21.0,7.0,11.0,51.0,1050.0,29.0,1485.0,0,4,0
2022-4140,Seoul,Hard,32,A,20220926,290,,Chun Hsin Tseng,R,175.0,TPE,21.1,7-6(5) 6-7(4) 6-2,3,R16,175.0,206499,,LL,Aleksandar Kovacevic,U,,USA,24.0,202358,,5.0,2.0,110.0,75.0,56.0,19.0,16.0,8.0,10.0,6.0,13.0,126.0,71.0,51.0,24.0,16.0,11.0,15.0,222.0,228.0,88.0,598.0,0,3,1
2020-0352,Paris Masters,Hard,64,M,20201102,274,SE,Kevin Anderson,R,203.0,RSA,34.4,6-6 RET,3,R32,47.0,106421,3,,Daniil Medvedev,R,198.0,RUS,24.7,104731,,7.0,0.0,34.0,25.0,23.0,6.0,6.0,1.0,1.0,3.0,1.0,44.0,32.0,23.0,7.0,6.0,5.0,5.0,5.0,5980.0,86.0,780.0,2,16,0
2023-520,Roland Garros,Clay,128,G,20230529,192,,Pedro Cachin,R,185.0,ARG,28.1,6-3 4-6 4-6 6-3 6-4,5,R64,263.0,106432,15,,Borna Coric,R,188.0,CRO,26.5,106398,,1.0,2.0,157.0,79.0,57.0,44.0,24.0,9.0,13.0,6.0,3.0,144.0,91.0,62.0,27.0,24.0,7.0,13.0,16.0,2410.0,64.0,803.0,0,7,1
2024-7694,Lyon,Clay,32,A,20240520,299,,Luciano Darderi,R,,ITA,22.2,6-2 6-4,3,SF,90.0,144869,6,,Tomas Martin Etcheverry,R,196.0,ARG,24.8,209260,,8.0,1.0,52.0,30.0,25.0,14.0,9.0,3.0,3.0,1.0,2.0,53.0,28.0,17.0,14.0,9.0,3.0,6.0,29.0,1410.0,47.0,1002.0,0,5,1
2023-0352,Paris Masters,Hard,64,M,20231030,252,PR,Gael Monfils,R,193.0,FRA,37.1,4-6 7-6(2) 7-5,3,R64,161.0,202103,,,Francisco Cerundolo,R,185.0,ARG,25.2,104792,,1.0,4.0,127.0,85.0,50.0,24.0,17.0,10.0,15.0,8.0,6.0,98.0,63.0,44.0,17.0,17.0,7.0,12.0,21.0,1680.0,79.0,727.0,0,6,1
2023-0416,Rome Masters,Clay,128,M,20230508,264,,Sebastian Korda,R,196.0,USA,22.8,6-2 7-6(5),3,R64,104.0,126128,,Q,Roman Safiullin,R,185.0,RUS,25.7,200624,22,6.0,4.0,82.0,42.0,33.0,17.0,10.0,6.0,8.0,5.0,3.0,71.0,42.0,29.0,11.0,10.0,5.0,9.0,103.0,586.0,29.0,1265.0,0,5,1
2020-M-DC-2020-QLS-M-SWE-CHI-01,Davis Cup QLS R1: SWE vs CHI,Hard,4,D,20200306,4,,Alejandro Tabilo,L,188.0,CHI,22.7,3-6 7-5 6-3,3,RR,125.0,144707,,,Mikael Ymer,R,183.0,SWE,21.4,126214,,9.0,3.0,86.0,60.0,45.0,12.0,15.0,4.0,7.0,5.0,3.0,96.0,62.0,42.0,17.0,15.0,6.0,10.0,67.0,759.0,173.0,290.0,2,5,0
2023-1536,Madrid Masters,Clay,128,M,20230424,211,PR,Jeremy Chardy,R,188.0,FRA,36.1,6-3 6-4,3,R128,72.0,200384,,WC,Hugo Gaston,L,173.0,FRA,22.5,104871,,3.0,1.0,49.0,25.0,22.0,11.0,9.0,0.0,2.0,0.0,5.0,57.0,35.0,20.0,9.0,10.0,3.0,8.0,106.0,555.0,635.0,45.0,2,4,1
2023-580,Australian Open,Hard,128,G,20230116,213,,Hubert Hurkacz,R,196.0,POL,25.9,3-6 6-3 6-2 1-6 7-6(7),5,R16,208.0,200624,29,,Sebastian Korda,R,196.0,USA,22.5,128034,10,8.0,5.0,149.0,87.0,65.0,33.0,23.0,7.0,10.0,19.0,3.0,141.0,88.0,66.0,27.0,22.0,6.0,9.0,31.0,1325.0,11.0,2860.0,2,8,1
2021-0403,Miami Masters,Hard,128,M,20210322,244,,Denis Kudla,R,180.0,USA,28.5,7-6(5) 6-4,3,R64,94.0,128034,26,,Hubert Hurkacz,R,196.0,POL,24.1,106045,,12.0,4.0,67.0,42.0,35.0,12.0,11.0,3.0,4.0,3.0,2.0,72.0,39.0,27.0,19.0,11.0,2.0,4.0,37.0,1645.0,123.0,608.0,4,9,0
2022-0425,Barcelona,Clay,64,A,20220418,243,,Maxime Cressy,R,198.0,USA,24.9,6-3 6-0,3,R64,49.0,111200,,Q,Elias Ymer,R,183.0,SWE,26.0,202195,,1.0,0.0,37.0,19.0,18.0,14.0,8.0,0.0,0.0,2.0,6.0,37.0,23.0,13.0,3.0,7.0,0.0,4.0,135.0,478.0,65.0,876.0,0,3,0
2023-0429,Stockholm,Hard,32,A,20231016,279,,Dusan Lajovic,R,180.0,SRB,33.2,4-6 6-3 6-4,3,R32,139.0,132283,,,Lorenzo Sonego,R,191.0,ITA,28.4,105583,,14.0,2.0,99.0,62.0,44.0,24.0,15.0,5.0,6.0,0.0,0.0,82.0,63.0,44.0,11.0,14.0,3.0,5.0,55.0,925.0,51.0,933.0,0,5,1
2020-560,Us Open,Hard,128,G,20200831,137,,James Duckworth,R,183.0,AUS,28.6,4-6 7-5 7-5 6-2,5,R128,200.0,106099,,,Salvatore Caruso,R,185.0,ITA,27.7,105902,,8.0,11.0,145.0,86.0,61.0,35.0,21.0,10.0,12.0,4.0,2.0,134.0,74.0,48.0,34.0,21.0,11.0,16.0,100.0,623.0,84.0,697.0,0,2,0
2022-4138,Tel Aviv,Hard,32,A,20220926,272,WC,Hamad Medjedovic,R,185.0,SRB,19.1,7-5 6-3,3,R32,88.0,106281,,Q,Liam Broady,L,183.0,GBR,28.7,209098,,8.0,2.0,64.0,28.0,21.0,22.0,11.0,1.0,3.0,4.0,1.0,51.0,37.0,23.0,6.0,10.0,1.0,5.0,174.0,314.0,255.0,195.0,0,3,1
2023-0404,Indian Wells Masters,Hard,128,M,20230306,239,,Maxime Cressy,R,198.0,USA,25.8,7-6(3) 7-6(13),3,R64,146.0,126214,,Q,Alejandro Tabilo,L,188.0,CHI,25.7,202195,32,10.0,1.0,86.0,60.0,47.0,19.0,12.0,4.0,4.0,28.0,18.0,94.0,44.0,35.0,28.0,12.0,2.0,2.0,187.0,314.0,37.0,1016.0,6,6,1
2022-0422,Cincinnati Masters,Hard,64,M,20220815,288,,Marin Cilic,R,198.0,CRO,33.8,7-6(4) 6-1,3,R16,99.0,207989,3,,Carlos Alcaraz,R,185.0,ESP,19.2,105227,14,8.0,4.0,63.0,42.0,35.0,11.0,10.0,2.0,3.0,4.0,2.0,67.0,48.0,29.0,7.0,9.0,3.0,6.0,4.0,5045.0,17.0,2130.0,3,15,1
2020-M004,Acapulco,Hard,32,A,20200224,283,LL,Taro Daniel,R,191.0,JPN,27.0,6-2 2-6 6-3,3,R32,114.0,126952,,,Soon Woo Kwon,R,180.0,KOR,22.2,106121,,6.0,3.0,79.0,45.0,32.0,17.0,12.0,1.0,4.0,5.0,5.0,65.0,36.0,26.0,11.0,13.0,2.0,7.0,76.0,732.0,110.0,511.0,0,7,0
2023-0352,Paris Masters,Hard,64,M,20231030,278,Q,Yoshihito Nishioka,L,170.0,JPN,28.0,6-4 6-3,3,R32,66.0,126094,5,,Andrey Rublev,R,188.0,RUS,26.0,106415,,12.0,2.0,53.0,33.0,32.0,9.0,10.0,1.0,1.0,2.0,1.0,51.0,35.0,27.0,7.0,9.0,1.0,3.0,5.0,4935.0,49.0,930.0,1,12,1
2021-6242,Winston-Salem,Hard,64,A,20210823,295,,Marcos Giron,R,180.0,USA,28.0,7-6(2) 6-2,3,QF,98.0,207989,15,,Carlos Alcaraz,R,185.0,ESP,18.3,106218,,3.0,2.0,57.0,30.0,22.0,19.0,10.0,3.0,5.0,2.0,4.0,74.0,48.0,32.0,7.0,10.0,8.0,12.0,54.0,1224.0,65.0,1012.0,3,15,0
2024-0403,Miami Masters,Hard,128,M,20240318,299,,Alexander Zverev,R,198.0,GER,26.9,6-4 6-7(4) 6-4,3,SF,157.0,105777,11,,Grigor Dimitrov,R,188.0,BUL,32.8,100644,4,18.0,2.0,96.0,65.0,51.0,20.0,16.0,2.0,2.0,14.0,1.0,92.0,69.0,54.0,10.0,16.0,0.0,2.0,12.0,2935.0,5.0,5060.0,2,12,1
2021-0321,Stuttgart,Grass,32,A,20210607,290,Q,Peter Gojowczyk,R,185.0,GER,31.8,5-3 RET,3,R16,35.0,200514,,WC,Jurij Rodionov,L,191.0,AUT,22.0,105376,,8.0,3.0,23.0,16.0,15.0,2.0,4.0,1.0,1.0,2.0,4.0,29.0,15.0,12.0,4.0,4.0,2.0,3.0,142.0,530.0,134.0,566.0,1,3,0
2021-7434,Sofia,Hard,32,A,20210927,282,,Alejandro Davidovich Fokina,R,183.0,ESP,22.3,6-4 7-5,3,R32,95.0,105332,,,Benoit Paire,R,196.0,FRA,32.3,200221,7,11.0,7.0,72.0,37.0,27.0,16.0,11.0,5.0,8.0,1.0,4.0,89.0,62.0,36.0,12.0,11.0,11.0,16.0,49.0,1295.0,43.0,1420.0,0,5,0
2022-0337,Vienna,Hard,32,A,20221024,298,,Borna Coric,R,188.0,CRO,25.9,7-6(4) 6-0,3,SF,88.0,133430,,,Denis Shapovalov,L,185.0,CAN,23.5,106432,,7.0,5.0,62.0,39.0,37.0,9.0,9.0,1.0,1.0,2.0,3.0,52.0,36.0,27.0,6.0,9.0,1.0,4.0,19.0,1925.0,27.0,1495.0,1,5,1
2021-520,Roland Garros,Clay,128,G,20210531,224,,Rafael Nadal,L,185.0,ESP,34.9,3-6 6-3 7-6(4) 6-2,5,SF,251.0,104925,1,,Novak Djokovic,R,188.0,SRB,34.0,104745,3,6.0,3.0,133.0,85.0,55.0,24.0,19.0,10.0,16.0,6.0,8.0,133.0,86.0,51.0,19.0,19.0,14.0,22.0,1.0,11313.0,3.0,9630.0,2,26,0
2020-0568,St Petersburg,Hard,32,A,20201012,297,,Reilly Opelka,R,211.0,USA,23.1,7-6(3) 6-3,3,QF,82.0,106432,7,,Borna Coric,R,188.0,CRO,23.9,124187,,6.0,0.0,54.0,42.0,36.0,10.0,11.0,1.0,2.0,16.0,1.0,68.0,42.0,32.0,11.0,10.0,0.0,2.0,27.0,1670.0,36.0,1312.0,0,7,0
2022-0407,Rotterdam,Hard,32,A,20220207,274,Q,Egor Gerasimov,R,196.0,BLR,29.2,3-6 6-2 6-2,3,R32,129.0,200000,3,,Felix Auger Aliassime,R,193.0,CAN,21.5,106078,,8.0,4.0,76.0,45.0,33.0,14.0,13.0,3.0,6.0,2.0,2.0,84.0,58.0,33.0,13.0,12.0,6.0,11.0,9.0,3818.0,126.0,564.0,1,13,0
2021-0410,Monte Carlo Masters,Clay,64,M,20210412,278,,Matteo Berrettini,R,196.0,ITA,24.9,7-5 6-3,3,R32,90.0,200221,,,Alejandro Davidovich Fokina,R,183.0,ESP,21.8,126610,8,1.0,1.0,59.0,46.0,36.0,7.0,11.0,2.0,3.0,3.0,3.0,72.0,39.0,22.0,18.0,10.0,3.0,6.0,58.0,1135.0,10.0,3453.0,0,5,0
2022-0319,Kitzbuhel,Clay,32,A,20220725,284,,Carlos Taberner,R,183.0,ESP,24.9,6-4 6-3,3,R32,88.0,122669,,,Juan Pablo Varillas,R,185.0,PER,26.8,126535,,3.0,1.0,49.0,20.0,16.0,14.0,10.0,0.0,3.0,1.0,6.0,50.0,24.0,15.0,9.0,9.0,2.0,7.0,109.0,520.0,111.0,518.0,0,4,1
2022-580,Australian Open,Hard,128,G,20220117,171,WC,Stefan Kozlov,R,183.0,USA,23.9,6-1 4-6 6-4 6-1,5,R64,158.0,126610,7,,Matteo Berrettini,R,196.0,ITA,25.7,111578,,21.0,1.0,100.0,70.0,55.0,17.0,17.0,4.0,5.0,1.0,5.0,114.0,78.0,50.0,12.0,17.0,10.0,16.0,7.0,4568.0,169.0,401.0,0,11,0
2020-580,Australian Open,Hard,128,G,20200120,111,,Felix Auger Aliassime,R,193.0,CAN,19.4,7-5 4-6 7-6(4) 6-4,5,R128,215.0,105208,,Q,Ernests Gulbis,R,190.0,LAT,31.3,200000,20,14.0,3.0,133.0,75.0,59.0,35.0,22.0,4.0,6.0,8.0,7.0,140.0,86.0,67.0,25.0,22.0,12.0,15.0,256.0,179.0,22.0,1701.0,1,2,0
2020-560,Us Open,Hard,128,G,20200831,144,,Guido Pella,L,185.0,ARG,30.2,6-2 0-6 6-3 6-3,5,R128,133.0,200670,,,J J Wolf,R,183.0,USA,21.6,105550,29,13.0,8.0,98.0,54.0,39.0,23.0,16.0,3.0,6.0,3.0,3.0,97.0,68.0,46.0,12.0,16.0,2.0,7.0,138.0,402.0,36.0,1310.0,0,4,0
2022-1536,Madrid Masters,Clay,64,M,20220502,265,Q,Hugo Dellien,R,180.0,BOL,28.8,7-5 6-7(11) 6-3,3,R64,175.0,128034,12,,Hubert Hurkacz,R,196.0,POL,25.2,106198,,14.0,1.0,100.0,63.0,46.0,20.0,16.0,1.0,4.0,4.0,1.0,129.0,97.0,58.0,18.0,17.0,10.0,16.0,14.0,3008.0,81.0,775.0,4,9,0
2024-580,Australian Open,Hard,128,G,20240115,185,,Alejandro Davidovich Fokina,R,183.0,ESP,24.6,7-6(7) 6-3 6-3,5,R64,138.0,132686,,,Nuno Borges,R,185.0,POR,26.9,200221,23,7.0,5.0,114.0,73.0,53.0,22.0,15.0,7.0,9.0,5.0,4.0,98.0,65.0,40.0,17.0,15.0,4.0,9.0,69.0,814.0,24.0,1530.0,0,4,1
2021-0425,Barcelona,Clay,64,A,20210419,267,,Guido Pella,L,185.0,ARG,30.9,4-6 7-6(4) 6-2,3,R64,159.0,105453,,,Kei Nishikori,R,178.0,JPN,31.3,105550,,4.0,3.0,111.0,67.0,37.0,28.0,15.0,12.0,16.0,2.0,3.0,110.0,75.0,45.0,13.0,15.0,8.0,13.0,39.0,1543.0,50.0,1208.0,0,4,0
2024-0404,Indian Wells Masters,Hard,128,M,20240304,269,,Aleksandar Vukic,R,188.0,AUS,27.9,6-2 5-7 6-3,3,R64,130.0,104925,1,,Novak Djokovic,R,188.0,SRB,36.7,126846,,11.0,5.0,76.0,46.0,38.0,16.0,14.0,4.0,6.0,9.0,3.0,100.0,56.0,44.0,12.0,15.0,8.0,13.0,1.0,9675.0,69.0,801.0,2,26,1
2020-0499,Delray Beach,Hard,32,A,20200217,299,,Ugo Humbert,L,188.0,FRA,21.6,1-6 6-4 6-0,3,SF,101.0,106415,,,Yoshihito Nishioka,L,170.0,JPN,24.3,200005,6,0.0,3.0,66.0,46.0,34.0,9.0,11.0,6.0,8.0,4.0,1.0,71.0,45.0,30.0,12.0,12.0,4.0,8.0,63.0,862.0,44.0,1086.0,3,6,0
2021-0500,Halle,Grass,32,A,20210614,272,,Guido Pella,L,185.0,ARG,31.0,6-7(5) 7-5 6-1,3,R32,140.0,105041,,Q,Lukas Lacko,R,185.0,SVK,33.6,105550,,4.0,3.0,99.0,59.0,42.0,28.0,16.0,3.0,4.0,8.0,2.0,106.0,69.0,47.0,17.0,15.0,8.0,12.0,214.0,319.0,62.0,1114.0,0,1,0
2021-0403,Miami Masters,Hard,128,M,20210322,236,,Sam Querrey,R,198.0,USA,33.4,6-3 6-4,3,R128,70.0,104229,,PR,Yen Hsun Lu,R,180.0,TPE,37.6,105023,,4.0,1.0,70.0,48.0,38.0,11.0,10.0,2.0,2.0,4.0,6.0,51.0,23.0,18.0,16.0,9.0,0.0,2.0,1020.0,10.0,63.0,1073.0,0,1,0
2024-0339,Brisbane,Hard,32,A,20240101,286,,Daniel Altmaier,R,191.0,GER,25.3,6-1 6-2,3,R16,67.0,105777,2,,Grigor Dimitrov,R,188.0,BUL,32.6,127157,,6.0,1.0,41.0,26.0,24.0,10.0,8.0,3.0,3.0,3.0,3.0,49.0,28.0,17.0,6.0,7.0,2.0,6.0,14.0,2570.0,56.0,891.0,2,12,1
2020-9406,Cologne 2,Hard,32,A,20201019,296,,Gilles Simon,R,183.0,FRA,35.8,6-3 0-6 6-4,3,QF,153.0,206173,,WC,Jannik Sinner,R,188.0,ITA,19.1,104468,,1.0,2.0,101.0,66.0,39.0,17.0,13.0,16.0,21.0,2.0,1.0,79.0,42.0,25.0,17.0,12.0,1.0,5.0,46.0,1136.0,58.0,1005.0,3,19,0
2021-0404,Indian Wells Masters,Hard,128,M,20211004,265,,Vasek Pospisil,R,193.0,CAN,31.2,3-0 RET,3,R64,26.0,133430,9,,Denis Shapovalov,L,185.0,CAN,22.4,105577,,0.0,0.0,6.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,7.0,20.0,8.0,5.0,3.0,2.0,2.0,4.0,13.0,3265.0,85.0,855.0,1,5,0
2023-M-DC-2023-FLS-2-B-M-FRA-SUI-01,Davis Cup Finals RR: FRA vs SUI,Hard,2,D,20230912,2,,Stan Wawrinka,R,183.0,SUI,38.4,6-4 6-4,3,RR,,200005,,,Ugo Humbert,L,188.0,FRA,25.2,104527,,5.0,1.0,58.0,37.0,29.0,13.0,10.0,4.0,5.0,7.0,1.0,65.0,40.0,26.0,10.0,10.0,4.0,7.0,36.0,1268.0,40.0,1084.0,0,11,1
2023-560,Us Open,Hard,128,G,20230828,130,Q,Taro Daniel,R,191.0,JPN,30.5,4-6 6-4 6-2 7-6(4),5,R128,190.0,104792,,,Gael Monfils,R,193.0,FRA,36.9,106121,,23.0,12.0,123.0,76.0,64.0,17.0,20.0,4.0,7.0,5.0,12.0,131.0,61.0,43.0,38.0,21.0,8.0,13.0,162.0,387.0,95.0,618.0,0,9,1
2023-0308,Munich,Clay,32,A,20230417,300,,Botic Van De Zandschulp,R,188.0,NED,27.5,6-4 1-6 7-6(3),3,F,172.0,208029,1,,Holger Rune,R,185.0,DEN,19.9,122298,4,4.0,7.0,96.0,61.0,38.0,16.0,14.0,6.0,12.0,3.0,2.0,113.0,78.0,51.0,15.0,15.0,9.0,14.0,7.0,3865.0,29.0,1250.0,1,10,1
2022-0375,Montpellier,Hard,32,A,20220131,298,,Filip Krajinovic,R,185.0,SRB,29.9,6-4 6-2,3,SF,63.0,122330,6,,Alexander Bublik,R,196.0,KAZ,24.6,105936,5,13.0,2.0,41.0,31.0,29.0,7.0,9.0,0.0,0.0,1.0,3.0,59.0,45.0,27.0,7.0,9.0,8.0,11.0,35.0,1433.0,36.0,1414.0,2,9,0
2022-M-DC-2022-FLS-4-D-M-GBR-NED-01,Davis Cup Finals RR: GBR vs NED,Hard,2,D,20220916,2,,Cameron Norrie,L,188.0,GBR,27.0,6-4 6-2,3,RR,,122298,,,Botic Van De Zandschulp,R,188.0,NED,26.9,111815,,,,,,,,,,,,,,,,,,,,35.0,1233.0,8.0,3550.0,1,4,1
2022-0499,Delray Beach,Hard,32,A,20220214,289,,Marcos Giron,R,180.0,USA,28.5,6-3 7-6(6),3,R16,90.0,105357,,,John Millman,R,183.0,AUS,32.6,106218,,5.0,1.0,65.0,46.0,38.0,11.0,11.0,0.0,1.0,5.0,0.0,55.0,37.0,28.0,11.0,10.0,0.0,2.0,91.0,738.0,64.0,988.0,0,5,0
2023-0807,Acapulco,Hard,32,A,20230227,281,,John Isner,R,206.0,USA,37.8,3-6 6-3 6-4,3,R32,113.0,126203,3,,Taylor Fritz,R,193.0,USA,25.3,104545,,4.0,2.0,83.0,55.0,47.0,11.0,14.0,3.0,4.0,9.0,3.0,79.0,50.0,40.0,15.0,14.0,1.0,3.0,5.0,3660.0,38.0,995.0,1,8,1
2021-0495,Dubai,Hard,64,A,20210315,290,,Karen Khachanov,R,198.0,RUS,24.8,6-7(3) 6-4 6-4,3,R16,155.0,104871,,,Jeremy Chardy,R,188.0,FRA,34.0,111575,8,19.0,5.0,119.0,73.0,52.0,25.0,16.0,2.0,2.0,12.0,6.0,118.0,77.0,59.0,18.0,16.0,6.0,8.0,53.0,1120.0,22.0,2200.0,0,4,0
2022-7696,NextGen Finals,Hard,8,A,20221107,300,,Jiri Lehecka,R,185.0,CZE,20.9,4-3(5) 4-3(6) 4-2,5,F,79.0,206909,4,,Brandon Nakashima,R,185.0,USA,21.2,208103,5,11.0,1.0,63.0,41.0,35.0,9.0,9.0,3.0,4.0,4.0,0.0,59.0,40.0,27.0,11.0,9.0,1.0,3.0,49.0,927.0,74.0,715.0,0,5,1
2022-540,Wimbledon,Grass,128,G,20220627,226,,Nick Kyrgios,R,193.0,AUS,27.1,4-6 6-3 6-4 7-6(3),5,F,181.0,104925,1,,Novak Djokovic,R,188.0,SRB,35.0,106401,,15.0,7.0,119.0,75.0,62.0,27.0,22.0,5.0,6.0,30.0,7.0,125.0,91.0,64.0,18.0,20.0,2.0,4.0,3.0,6770.0,40.0,1070.0,2,26,1
2020-7485,Antwerp,Hard,32,A,20201019,112,,Frances Tiafoe,R,188.0,USA,22.7,7-6(3) 6-2,3,R16,101.0,105554,,,Daniel Evans,R,175.0,GBR,30.4,126207,,3.0,1.0,71.0,36.0,27.0,17.0,10.0,5.0,6.0,5.0,1.0,65.0,43.0,29.0,8.0,10.0,2.0,5.0,35.0,1384.0,63.0,950.0,0,5,0
