tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,Player1_entry,Player1_name,Player1_hand,Player1_ht,Player1_ioc,Player1_age,score,best_of,round,minutes,Player2_id,Player2_seed,Player2_entry,Player2_name,Player2_hand,Player2_ht,Player2_ioc,Player2_age,Player1_id,Player1_seed,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,Player2_rank,Player2_rank_points,Player1_rank,Player1_rank_points,Player2_streak,Player2_max_streak,y
2021-7434,Sofia,Hard,32,A,20210927,283,,Emil Ruusuvuori,R,188.0,FIN,22.4,3-6 6-4 6-4,3,R32,144.0,105902,,,James Duckworth,R,183.0,AUS,29.6,200325,,11.0,6.0,102.0,60.0,44.0,15.0,15.0,4.0,8.0,10.0,7.0,101.0,59.0,43.0,17.0,14.0,4.0,8.0,56.0,1142.0,89.0,836.0,1,4,0
2021-520,Roland Garros,Clay,128,G,20210531,106,,Jo-Wilfried Tsonga,R,188.0,FRA,36.1,6-4 6-2 3-6 7-6(5),5,R128,172.0,106415,,,Yoshihito Nishioka,L,170.0,JPN,25.6,104542,,2.0,2.0,126.0,90.0,66.0,19.0,20.0,6.0,8.0,19.0,5.0,134.0,82.0,60.0,22.0,19.0,8.0,12.0,57.0,1142.0,77.0,947.0,3,6,0
2021-0404,Indian Wells Masters,Hard,128,M,20211004,215,,Soon Woo Kwon,R,180.0,KOR,23.8,1-6 6-3 6-4,3,R128,131.0,105550,,,Guido Pella,L,185.0,ARG,31.3,126952,,6.0,2.0,107.0,74.0,42.0,14.0,13.0,15.0,20.0,6.0,4.0,75.0,40.0,26.0,18.0,13.0,4.0,9.0,77.0,914.0,55.0,1117.0,0,4,0
2022-0414,Hamburg,Clay,32,A,20220718,272,,Federico Coria,R,180.0,ARG,30.3,7-6(4) 6-4,3,R32,115.0,123755,,Q,Daniel Elahi Galan,R,191.0,COL,26.0,105948,,5.0,1.0,78.0,53.0,39.0,13.0,11.0,3.0,4.0,4.0,0.0,82.0,53.0,38.0,13.0,11.0,7.0,9.0,113.0,480.0,78.0,660.0,0,3,1
2022-0407,Rotterdam,Hard,32,A,20220207,276,,Alexei Popyrin,R,196.0,AUS,22.5,6-7(4) 6-1 7-6(6),3,R32,153.0,111575,,,Karen Khachanov,R,198.0,RUS,25.7,200615,,5.0,5.0,101.0,56.0,45.0,26.0,16.0,2.0,3.0,10.0,2.0,105.0,59.0,44.0,22.0,15.0,4.0,7.0,28.0,1748.0,66.0,955.0,2,6,0
2023-0439,Umag,Clay,32,A,20230724,290,,Zsombor Piros,R,180.0,HUN,23.7,6-2 6-3,3,R16,81.0,209976,,WC,Dino Prizmic,U,,CRO,17.9,200436,,1.0,4.0,49.0,30.0,25.0,12.0,9.0,1.0,1.0,1.0,0.0,58.0,37.0,20.0,10.0,8.0,7.0,10.0,287.0,188.0,124.0,523.0,0,2,1
2022-0341,Metz,Hard,32,A,20220919,272,,Jaume Munar,R,183.0,ESP,25.3,6-2 2-6 7-5,3,R32,125.0,126239,,,Arthur Rinderknech,R,196.0,FRA,27.1,144719,,11.0,1.0,88.0,62.0,42.0,14.0,14.0,4.0,7.0,2.0,2.0,76.0,55.0,41.0,7.0,14.0,3.0,7.0,60.0,772.0,56.0,814.0,2,5,1
2023-0360,Marrakech,Clay,32,A,20230403,271,WC,Younes Lalami Laaroussi,R,,MAR,21.9,6-3 6-2,3,R32,71.0,200615,,,Alexei Popyrin,R,196.0,AUS,23.6,207794,,4.0,2.0,44.0,26.0,20.0,10.0,8.0,0.0,1.0,1.0,5.0,52.0,28.0,17.0,9.0,9.0,2.0,7.0,95.0,611.0,937.0,13.0,0,5,1
2023-7434,Sofia,Hard,32,A,20231106,297,WC,Cem Ilkel,R,185.0,TUR,28.2,6-2 6-2,3,QF,75.0,207733,,,Jack Draper,L,191.0,GBR,21.8,117356,,6.0,0.0,41.0,26.0,23.0,10.0,8.0,0.0,0.0,1.0,1.0,55.0,34.0,16.0,11.0,8.0,5.0,9.0,82.0,706.0,259.0,228.0,0,5,1
2022-560,Us Open,Hard,128,G,20220829,165,,Nuno Borges,R,185.0,POR,25.5,6-7(3) 7-6(4) 4-6 6-4 6-4,5,R64,226.0,200059,,,Yibing Wu,R,183.0,CHN,22.8,132686,,11.0,11.0,185.0,111.0,77.0,41.0,28.0,6.0,10.0,9.0,5.0,183.0,111.0,69.0,44.0,28.0,11.0,16.0,174.0,301.0,104.0,513.0,0,5,1
